,target1
CC[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CCCC[C@H]34)C)O,0.49331635
CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2],0.21833071
CCOC(=O)C1=CN=CC=C1,0.122512184
C1=CC=C2C=C(C=CC2=C1)OC(=O)C3=CC=CC=C3N,0.696115
COC1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O,0.21824817
CCN1CCC2=C(CC1)OC(=N2)N,0.14724466
C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)/C=C/Br)CO)O,0.36558092
C([C@@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,0.31628934
CNCC(=O)C1=CC(=C(C=C1)O)O,0.13994347
C1=CN=CC(=C1N)N,0.13978079
C(CC(=O)O)C(=O)CN,0.1294791
CN1C[C@@H]2[C@@H](C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24,0.45998812
CC(=C)C=C,0.16038446
C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O,0.46207583
CN(C)[C@H]1[C@@H]2C[C@@H]3[C@@H](C4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O,0.7014935
CC1=NC2=C(C=C(C=C2)NC(=O)NC3=CC4=C(C=C3)N=C(C=C4N)C)C(=C1)N,0.3119754
CC1=NC=C(C(=C1O)CN)CO,0.1334839
C[C@H]1C(=O)N[C@H](C(=O)N/C(=C\NC(=O)N)/C(=O)N[C@H](C(=O)NC[C@@H](C(=O)N1)N)[C@@H]2CCN=C(N2)N)CNC(=O)C[C@H](CCCN)N,0.5912839
CC(C)OS(=O)(=O)C,0.13067232
CCCCC(CC)COC(=O)C1=CC=CC=C1O,0.13356034
C1=CC(=C(C=C1C(F)(F)F)N)S,0.15403047
C1=CC(=CC=C1C=O)Cl,0.124269515
CCCCCCCCCCCCCCCCN,0.14546539
CC1=C(N(C2=C1C=C(C=C2)C(=O)OCCN(C)C)CCN(C)C)C,0.23784572
C1C(CC2=CC=CC=C2C1C3=C(SC4=CC=CC=C4C3=O)O)C5=CC=C(C=C5)C6=CC=C(C=C6)Br,0.34815893
CC1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)[O-],0.63946295
C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)C3C(=O)C4=CC=CC=C4C3=O,0.36247867
C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)O)C)C)C)O)OC,0.4989509
C[C@@H]1CCC[C@@H](N1CCCC(C2=CC=CC=C2)(C3=CC=CC=N3)O)C,0.31478837
CCN(CC)CCNC(=O)C1=CC=C(C=C1)N,0.1308002
COC1=CC=C(C=C1)C2=C(ON=C2C3=CC=C(C=C3)OC)CC(=O)O,0.25614652
CC(=O)NC1=CC(=C(C=C1)C(=O)OC)OC,0.14884663
CC(=O)NC1=C(C=C(C(=C1)OC)C(=O)OC)Cl,0.19487853
C1=CC(=C(C=C1N)C(F)(F)F)[N+](=O)[O-],0.16416666
CCOC(=O)C1=CC(=C(C=C1)O)O,0.14006649
C1CNCCC1(C2=CC=C(C=C2)Cl)O,0.1518759
C1CN(CCN1)C2=CC=CC=C2Cl,0.14088698
C1CN(CCN1)C(=O)C2=CC=CO2,0.12311182
CC(=O)C1=CC(=C(C=C1)O)C(=O)N,0.14625396
CCCC(=O)NC1=CC(=C(C=C1)O)C(=O)C,0.18542513
C1CNCCC1(C2=CC=CC=C2)O,0.13423552
CCCCC(CC)CN1CC(CN(C1)CC(CC)CCCC)(C)N,0.19967276
CC1(CO[C@H](CN1)CC(=O)O)C,0.14736001
CCOC(=O)C1(CCN(CC1)CCC2=CC=C(C=C2)N)C3=CC=CC=C3,0.2703543
C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)COC(=O)CC(C)(C)C)O)CCC4=CC(=O)C=C[C@]34C)O,0.7120054
C1CCN(C1)CCCl,0.14655928
C[C@@H]1CC2=CC(=O)CC[C@@H]2[C@@H]3[C@@H]1[C@@H]4CC[C@]([C@]4(CC3)C)(C)O,0.6032411
CC1=C(N=C(O1)C2=CC=CC=C2)CCOC3=CC=C(C=C3)CN(CC(=O)O)C(=O)OC4=CC=C(C=C4)OC,0.41795886
COC1=C(C=C(C=C1)S(=O)(=O)N)C(=O)OC,0.1745925
CC1COC2(N1CC(=O)NC3=C2C=C(C=C3)Cl)C4=CC=CC=C4Cl,0.26379642
CCCCC(CC)CNC(=O)CC(C)OC(=O)CCC(=O)O,0.2016574
COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3CC3,0.22808503
C1=CC=C2C(=C1)C(=O)NC3=C(O2)C=CC(=C3)Cl,0.24753197
